archetype,Projects,Countries,Mean_Outlier,Mean_Cluster_Size
UNKNOWN,101,38,0.307980198019802,83.79207920792079
ONCHAIN_PREDICTION_MARKET,73,25,0.2361095890410959,135.87671232876713
AI_TRADING_COPILOT,60,23,0.217,29.433333333333334
RWA_TOKENIZATION_PLATFORM,28,16,0.21335714285714286,108.0
WALLET_SECURITY_SCANNER,27,14,0.19055555555555556,52.0
,26,17,0.5211538461538462,73.11538461538461
AI_AGENT_MARKETPLACE,25,17,0.33852,19.84
PREDICTION_MARKET,23,15,0.3204782608695652,140.2173913043478
ZK_VERIFICATION_LAYER,12,7,0.29425,6.333333333333333
CRYPTO_PAYMENT_GATEWAY,11,5,0.35954545454545456,8.636363636363637
AI_AGENT_ORCHESTRATION_PLATFORM,10,9,0.2893,15.7
AI_AGENT_SECURITY_LAYER,8,6,0.369375,25.75
AI_AGENT_PAYMENT_GATEWAY,7,5,0.21985714285714283,41.0
BASE_BUILDING_PVP_GAME,6,5,0.0,167.0
AI_AGENT_COMPETITION_PLATFORM,5,5,0.22360000000000002,10.4
PAYMENT_LINK_GENERATOR,5,3,0.0328,18.0
AUTONOMOUS_TRADING_AGENT,5,4,0.35100000000000003,50.8
BELIEF_MARKET,5,5,0.4142,139.0
AI_AGENT_WALLET,5,5,0.1852,21.6
TOKEN_LAUNCHPAD,5,5,0.07239999999999999,37.0
DECENTRALIZED_ESCROW_PLATFORM,5,3,0.20659999999999998,80.0
DECENTRALIZED_LENDING_PROTOCOL,5,4,0.1416,58.0
CRYPTO_PAYMENT_PROCESSOR,4,4,0.17375,9.0
AI_AGENT_COORDINATION_PROTOCOL,4,3,0.54725,18.5
SOCIAL_TRADING_PLATFORM,4,4,0.81225,8.75
AI_AGENT_ORCHESTRATOR,4,4,0.07475,20.25
AI_AGENT_TASK_MARKETPLACE,4,4,0.3805,13.5
DEFI_PORTFOLIO_MANAGER,4,4,0.492,38.5
ONCHAIN_VERIFICATION_LAYER,4,4,0.81825,0.0
ONCHAIN_ANALYTICS_PLATFORM,4,4,0.1955,67.0
AI_TRADING_AGENT,4,4,0.19325,44.5
AI_ASSISTANT,3,2,0.559,6.0
CONFIDENTIAL_PAYROLL_SYSTEM,3,2,0.052333333333333336,103.0
AI_AGENT_TRUST_LAYER,3,3,0.0,16.0
DEFI_AUTOMATION_AGENT,3,2,0.7760000000000001,0.0
COLLATERALIZED_LENDING_PROTOCOL,3,3,0.0,58.0
CROWDFUNDING_PLATFORM,3,3,0.07933333333333333,14.333333333333334
DIGITAL_ASSET_INHERITANCE_PROTOCOL,3,3,0.0,18.0
AI_AGENT_ACCOUNTABILITY_LAYER,3,2,0.0,16.0
CROSS_BORDER_REMITTANCE_PLATFORM,3,3,0.11466666666666665,24.0
ONCHAIN_FRAUD_DETECTION_SYSTEM,3,3,0.12266666666666666,29.333333333333332
ONCHAIN_IDENTITY_REGISTRY,3,3,0.38833333333333336,11.666666666666666
ONCHAIN_PAYMENT_PROCESSOR,3,3,0.767,0.0
ONCHAIN_PORTFOLIO_MANAGER,3,3,0.265,70.66666666666667
AI_COMPUTE_MARKETPLACE,3,3,0.074,18.0
CROSS_CHAIN_PAYMENT_GATEWAY,3,3,0.7613333333333333,0.0
DEFI_TRADING_TERMINAL,3,3,0.10166666666666667,30.0
AI_AGENT_EXECUTION_LAYER,3,3,0.41500000000000004,6.333333333333333
PRIVATE_PAYMENT_GATEWAY,3,3,0.25833333333333336,103.0
AI_AGENT_POLICY_ENGINE,3,3,0.5760000000000001,0.0
PRODUCT_AUTHENTICATION_SYSTEM,3,3,0.0,24.0
RECURRING_PAYMENT_PROTOCOL,3,3,0.0,17.0
CRYPTO_FIAT_PAYMENT_GATEWAY,3,3,0.026,19.333333333333332
SOCIAL_TIPPING_PLATFORM,3,2,0.0,11.0
DEX_AGGREGATOR,3,3,0.6183333333333333,0.0
DECENTRALIZED_COMPUTE_MARKETPLACE,3,3,0.0,18.0
AUTOMATED_TRADING_AGENT,3,3,0.453,32.666666666666664
VERIFIABLE_CREDENTIAL_PLATFORM,3,3,0.124,7.333333333333333
AI_DATA_MARKETPLACE,3,2,0.7393333333333333,26.666666666666668
PRIVATE_TRANSACTION_LAYER,3,3,0.2896666666666667,103.0
AI_SMART_CONTRACT_AUDITOR,2,2,0.631,54.0
AI_INFERENCE_MARKETPLACE,2,2,0.175,18.0
COORDINATED_TRADE_EXECUTION_PLATFORM,2,2,0.85,0.0
AI_ADVISORY_PLATFORM,2,2,0.8105,0.0
COPY_TRADING_PLATFORM,2,2,0.0,40.0
AI_AGENT_SECURITY_FIREWALL,2,2,0.231,58.0
AI_AGENT_API_GATEWAY,2,2,0.5479999999999999,13.5
CRYPTO_TO_FIAT_PAYMENT_GATEWAY,2,2,0.0,23.0
DIGITAL_ASSET_INHERITANCE_PLATFORM,2,1,0.1065,18.0
COMMUNITY_MANAGEMENT_PLATFORM,2,2,0.827,18.5
API_MONETIZATION_PLATFORM,2,2,0.1935,52.0
AI_COMPLIANCE_ORACLE,2,2,0.804,0.0
AI_INVESTMENT_MANAGER,2,2,0.6114999999999999,38.5
CONFIDENTIAL_PAYMENT_PROTOCOL,2,2,0.2075,103.0
AI_AGENT_SMART_WALLET,2,2,0.0,27.0
DIGITAL_INHERITANCE_PROTOCOL,2,2,0.0,18.0
AI_AGENT_CONTEXT_MANAGER,2,2,0.8935,0.0
ESCROW_PROTOCOL,2,2,0.28350000000000003,80.0
AI_TRADING_AGENT_PLATFORM,2,2,0.479,20.0
AI_AGENT_CREDIT_PROTOCOL,2,2,0.3755,58.0
AI_AGENT_TESTING_PLATFORM,2,2,0.508,6.5
AI_AGENT_DEPLOYMENT_PLATFORM,2,2,0.0805,20.5
AI_POWERED_PORTFOLIO_MANAGER,2,2,0.0,77.0
AI_POWERED_PREDICTION_MARKET,2,2,0.471,139.0
DIGITAL_CREDENTIAL_ISSUANCE_AND_VERIFICATION,2,2,0.0,11.0
AI_AGENT_FINANCIAL_CONTROLLER,2,2,0.0,11.0
ASSET_TOKENIZATION_PLATFORM,2,2,0.4185,108.0
AI_MANGA_CREATION_PLATFORM,2,2,0.0,10.0
AI_AGENT_FINANCIAL_GOVERNANCE,2,2,0.622,0.0
AI_DEFI_ASSISTANT,2,2,0.688,38.5
AI_AGENT_FINANCIAL_MANAGER,2,2,0.0155,11.0
AI_AGENT_FRAMEWORK,2,2,0.3125,11.0
AI_AGENT_WALLET_MANAGER,2,2,0.11850000000000001,27.0
CHAT_BASED_DEFI_AGENT,2,1,0.0,18.0
FIAT_CRYPTO_PAYMENT_GATEWAY,2,2,0.0,11.0
AI_AGENT_GOVERNANCE_LAYER,2,2,0.6174999999999999,0.0
AI_TRADING_STRATEGY_PLATFORM,2,2,0.4365,20.0
AUTOMATED_LIQUIDITY_MANAGER,2,2,0.0,11.0
DEFI_PORTFOLIO_TRACKER,2,2,0.8755,0.0
COMPETITIVE_TRADING_GAME,2,2,0.48,167.0
AUTOMATED_ARBITRAGE_PLATFORM,2,2,0.6365000000000001,38.5
BEHAVIORAL_COMMITMENT_PROTOCOL,2,2,0.058,17.0
