project_id,project_name,country,archetype,outlier_score,ext_terms,crypto_terms,cluster_id,what_is_actually_built,neighborhood_sparsity,local_density,raw_bridge_score,norm_sparsity,archetype_freq,archetype_uniqueness,cross_domain_vocab,norm_cross_domain,cluster_size,final_outlier_score,commodity_score
2333_AICW — AI-Controlled Wallet Standard,AICW — AI-Controlled Wallet Standard,Unknown,UNKNOWN,0.0,0,0,64,,0.06792676644884811,183,0.6,0.1427640575508998,127,0.007874015748031496,0.0,0.0,27,0.07863607331835566,1.0
1017_AI Accountant,AI Accountant,Unknown,UNKNOWN,0.0,0,0,31,unclear,0.08863662673661256,204,0.8,0.1862906942592726,127,0.007874015748031496,0.0,0.0,21,0.10319117583140036,0.9923685254650123
1157_Fantasy Sports,Fantasy Sports,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.02612149929495966,121,0.2,0.05490046742427629,127,0.007874015748031496,0.0,0.0,101,0.029287651949992704,0.8803696883538171
2728_Squad Treasury,Squad Treasury,Unknown,UNKNOWN,0.237,0,0,2,unclear from transcript,0.026203544488925444,121,0.2,0.0550729046740595,127,0.007874015748031496,0.0,0.0,101,0.15474991595804277,0.8797973581380922
1598_Solana AI Lend,Solana AI Lend,Unknown,UNKNOWN,0.0,0,0,2,"unclear from transcript, as the text is nonsensical and does not describe any project implementation.",0.026225307849422112,121,0.2,0.055118645488952955,127,0.007874015748031496,0.0,0.0,101,0.029351791785563217,0.8796456663149912
2587_HardCore Arena,HardCore Arena,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.02637125204946153,121,0.2,0.05542538151162728,127,0.007874015748031496,0.0,0.0,101,0.029441965827976882,0.8786297771708509
0440_Merrit Protocol,Merrit Protocol,Unknown,UNKNOWN,0.528,0,0,2,unclear from transcript,0.026707758184069546,121,0.2,0.05613262820801738,127,0.007874015748031496,0.0,0.0,101,0.3090478121051376,0.8762963422312338
1404_$FRANC BY FRANC LE COQ,$FRANC BY FRANC LE COQ,Unknown,UNKNOWN,0.0,0,0,2,unclear,0.027268139513550484,121,0.2,0.05731040122085042,127,0.007874015748031496,0.0,0.0,101,0.02999612260985104,0.8724378737162088
2757_Kawula Agent,Kawula Agent,Unknown,UNKNOWN,0.27,0,0,2,unclear from transcript,0.027644677386865178,121,0.2,0.0581017840206849,127,0.007874015748031496,0.0,0.0,101,0.1731027144489369,0.8698642771644884
1905_SettleDesk Sovereign Financial Intelligence,SettleDesk Sovereign Financial Intelligence,Unknown,UNKNOWN,0.474,0,0,2,unclear from transcript,0.028131290790921352,121,0.2,0.05912451640813087,127,0.007874015748031496,0.0,0.0,101,0.28135257698052374,0.866560731134748
0580_Charge Flow,Charge Flow,Unknown,UNKNOWN,0.358,0,0,2,unclear from transcript,0.02830561660205076,121,0.2,0.059490903054128914,127,0.007874015748031496,0.0,0.0,101,0.22007740842631343,0.8653833555346097
2592_LP Arena,LP Arena,Unknown,UNKNOWN,0.302,0,0,2,unclear from transcript,0.028987877661576584,121,0.2,0.060924834952539406,127,0.007874015748031496,0.0,0.0,101,0.19086584089880004,0.86080604659871
0057_Fashion Evolution Hub (FEH),Fashion Evolution Hub (FEH),Unknown,UNKNOWN,0.403,0,0,2,unclear,0.029343033549847315,121,0.2,0.06167127848758984,127,0.007874015748031496,0.0,0.0,101,0.24453071729080686,0.8584424068438813
2565_Autotrader bot,Autotrader bot,Unknown,UNKNOWN,0.738,0,0,-1,unclear from transcript,0.1378412224602514,222,0.6,0.28970571168025067,127,0.007874015748031496,0.0,0.0,728,0.5123559857505495,0.8565144253796144
0014_Offbank Pay,Offbank Pay,Unknown,UNKNOWN,0.47,0,0,2,,0.029930426620273676,121,0.2,0.06290582301981776,127,0.007874015748031496,0.0,0.0,101,0.2803475518781269,0.854561536640831
1483_Shard,Shard,Unknown,UNKNOWN,0.0,0,0,56,"A platform that includes free primitives, a strategy designer, and a leaderboard for creating and managing algorithmic trading strategies. It incorporates a system for permanent royalties and fungible shares.",0.12637739023823472,209,0.4,0.2656117750973824,127,0.007874015748031496,0.0,0.0,40,0.1029915876488127,0.8471924424042682
2676_agent bond,agent bond,Unknown,UNKNOWN,0.614,0,0,2,unclear from transcript,0.031428058653902545,121,0.2,0.06605344857328894,127,0.007874015748031496,0.0,0.0,101,0.3574723242068754,0.8448237474268045
0430_Thrift Chain,Thrift Chain,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.03195000479787598,121,0.2,0.06715044101429976,127,0.007874015748031496,0.0,0.0,101,0.03288889065825454,0.8414819324872592
2688_GREEN TITANS  Цифровой Обменник отходов,GREEN TITANS  Цифровой Обменник отходов,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.03232466936983522,121,0.2,0.06793788663124593,127,0.007874015748031496,0.0,0.0,101,0.033120383372549626,0.8390993573442554
