domain,Projects,Unique_Archetypes,Mean_Outlier,Category_Formation_Rate
DEFI,1169,964,0.361748502994012,0.8246364414029085
INFRASTRUCTURE,1147,997,0.39214472537053185,0.8692240627724499
AI,913,691,0.38029244249726174,0.7568455640744798
PAYMENTS,701,615,0.3846305278174037,0.8773181169757489
CONSUMER,569,531,0.3634165202108963,0.9332161687170475
SECURITY,540,462,0.36370555555555556,0.8555555555555555
DEV_TOOLING,507,453,0.3949447731755424,0.893491124260355
DATA,494,438,0.3810303643724697,0.8866396761133604
TRADING,272,188,0.4136617647058824,0.6911764705882353
GAMING,243,218,0.27439094650205764,0.897119341563786
ANALYTICS,191,162,0.4148534031413612,0.8481675392670157
PREDICTION_MARKETS,190,84,0.31809473684210526,0.4421052631578947
IDENTITY,174,166,0.33123563218390806,0.9540229885057471
SOCIAL,174,158,0.33527586206896554,0.9080459770114943
RWA,168,129,0.3793214285714286,0.7678571428571429
NFT_INFRA,136,134,0.3174926470588235,0.9852941176470589
PRIVACY,102,94,0.28002941176470586,0.9215686274509803
EDUCATION,68,68,0.44982352941176473,1.0
DEPIN,59,59,0.5643559322033898,1.0
DAO,46,44,0.3705,0.9565217391304348
GOVERNANCE,35,35,0.37765714285714286,1.0
ADVERTISING,2,2,0.014,1.0
E-COMMERCE,2,2,0.35300000000000004,1.0
HEALTHCARE,2,2,0.366,1.0
MARKETING,1,1,0.0,1.0
